BIG_MESSAGE.EXTRACTION.ACTIVATED	Çıkarma noktası aktif edildi
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	Aynı anda sadece bir <b><u>TAHLİYE NOKTASI</u></b> aktif olabilir, güncel olanı haritandan bul!
TUTORIAL.CHAT.TEXT	Sohbeti açmak için [chat] tuşuna bas! Eğlencelidir!
TUTORIAL.FINAL_EXTRACTION.TEXT	Ayrılma vakti, kamyon seni iyileştirir ve taşınan oyuncu kafalarını canlandırır!
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	Bu bölümde birden fazla <b><u>TAHLİYE NOKTASI</u></b> var, ayrılmak için hepsini temizlemelisin!
TUTORIAL.SHOP.TEXT	Burası <b><u>MAĞAZA</u></b>, satın almak için eşyaları buraya ulaştırın. Burada hiçbir zarar kalıcı değildir!
TUTORIAL.EXPRESSIONS.TEXT	İfade bırakmak için [expression1]/[expression2]/[expression3]/[expression4]/[expression5]/[expression6] tuşlarını kullan.
TUTORIAL.EXPRESSIONS.TEXT	Hatta karıştırabilirsin de!
TUTORIAL.OVERCHARGE_1.TEXT	Bir düşmanı yakalamak artık aşırı şarja neden olacak, bar dolduğunda havaya uçarsın.
TUTORIAL.OVERCHARGE_2.TEXT	Birden fazla kişi aşırı şarj etkisini hafifletecektir.
TUTORIAL.HEAD_SPECTATE_1.TEXT	Ölüyken kafan şarj olur, kafanı kısa süreliğine kontrol etmek için bu şarjı kullan.
TUTORIAL.HEAD_SPECTATE_2.TEXT	Kafanı kontrol ederken, zıplamak için [jump] tuşunu basılı tut. Daha büyük bir bedelle daha yükseğe zıplamak için basılı tutmaya devam et.
TUTORIAL.ENEMY_ELSA.TEXT	KÖPEĞİ SEV!
MOON_UI.SKIP	Geçmek için [menu]
TUTORIAL.EXTRACTION_REMINDER.TEXT	<b><u>ÇIKARMA NOKTALARINI</u></b> ganimetlerle doldur.
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	Bu bir <b><u>KOZMETİK KUTUSU</u></b>, bir ödül almak için onu çıkar.
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	Hasar görürse, kendi canını kullanarak onu <b><u>İYİLEŞTİREBİLİRSİN</u></b>.
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	Ödüllerini talep etmek için mağaza makinesine <b><u>VERGİ JETONLARI</u></b> yerleştir.
FOCUS.PREFIX	AMAÇ
FOCUS.SHOP.INTRO	Mağazadan bir şeyler satın al
FOCUS.TRUCK.INTRO	Yolculuğun tadını çıkar, eşyaları şarj et ve HAZIRLAN!
COSMETIC_SHOP_MACHINE.INFO_TEXT	Vergi jetonu yüklemek için [interact] tuşuna bas
ITEM.CART_CANNON	S.E.P.E.T. Topu
ITEM.CART_LASER	S.E.P.E.T. Lazeri
ITEM.CART_MEDIUM	S.E.P.E.T.
ITEM.CART_SMALL	CEP S.E.P.E.T.İ
ITEM.DRONE_BATTERY	Şarj Uçangözü
ITEM.DRONE_FEATHER	Tüy Uçangözü
ITEM.DRONE_INDESTRUCTIBLE	Yok Edilemez Uçangöz
ITEM.DRONE_TORQUE	Taklacı Uçangöz
ITEM.DRONE_ZERO_GRAVITY	Yerçekimsiz Uçangöz
ITEM.DUCK_BUCKET	Ördek Kovası
ITEM.EXTRACTION_TRACKER	Çıkarma Takipçisi
ITEM.GRENADE_DUCT_TAPED	Koli Bantlı El Bombaları
ITEM.GRENADE_EXPLOSIVE	El Bombası
ITEM.GRENADE_HUMAN	Canlı El Bombası
ITEM.GRENADE_SHOCKWAVE	Şok Dalgası Bombası
ITEM.GRENADE_STUN	Şok Bombası
ITEM.GUN_HANDGUN	Tabanca
ITEM.GUN_LASER	Foton Patlatıcı
ITEM.GUN_SHOCKWAVE	Darbe Tabancası
ITEM.GUN_SHOTGUN	Pompalı Tüfek
ITEM.GUN_STUN	Şok Silahı
ITEM.GUN_TRANQ	Bayıltıcı Silah
ITEM.HEALTH_PACK_LARGE	Büyük Sağlık Paketi (100)
ITEM.HEALTH_PACK_MEDIUM	Orta Sağlık Paketi (50)
ITEM.HEALTH_PACK_SMALL	Küçük Sağlık Paketi (25)
ITEM.LEAF_BLOWER	Yaprak Üfleyici
ITEM.MELEE_BASEBALL_BAT	Beyzbol Sopası
ITEM.MELEE_FRYING_PAN	Tava
ITEM.MELEE_INFLATABLE_HAMMER	Şişme Çekiç
ITEM.MELEE_SLEDGE_HAMMER	Balyoz
ITEM.MELEE_STUN_BATON	Elektrikli Jop
ITEM.MELEE_SWORD	Kılıç
ITEM.MINE_EXPLOSIVE	Patlayıcı Mayın
ITEM.MINE_SHOCKWAVE	Şok Dalgası Mayını
ITEM.MINE_STUN	Tuzak Mayını
ITEM.ORB_ZERO_GRAVITY	Yerçekimsiz Küre
ITEM.PHASE_BRIDGE	Faz Köprüsü
ITEM.POWER_CRYSTAL	Enerji Kristali
ITEM.REVIVE_ITEM	Defibratör
ITEM.RUBBER_DUCK	Plastik Ördek
ITEM.STAFF_TORQUE	Taklacı Asa
ITEM.STAFF_VOID	Boşluk Asası
ITEM.STAFF_ZERO_GRAVITY	Yerçekimsiz Asa
ITEM.UPGRADE_DEATH_HEAD_BATTERY	Kuru Kafa Bataryası Geliştirmesi
ITEM.UPGRADE_MAP_PLAYER_COUNT	Harita Oyuncu Sayısı Geliştirmesi
ITEM.UPGRADE_PLAYER_CROUCH_REST	Eğilme Dinlenmesi Geliştirmesi
ITEM.UPGRADE_PLAYER_ENERGY	Dayanıklılık Geliştirmesi
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	Ek Zıplama Geliştirmesi
ITEM.UPGRADE_PLAYER_GRAB_RANGE	Menzil Geliştirmesi
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	Güç Geliştirmesi
ITEM.UPGRADE_PLAYER_HEALTH	Sağlık Geliştirmesi
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	Depar Hızı Geliştirmesi
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	Takla Tırmanışı Geliştirmesi
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	Takla Fırlaması Geliştirmesi
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	Takla Kanatları Geliştirmesi
ITEM.VALUABLE_TRACKER	Ganimet Takipçisi
ITEM.VEHICLE_SEMISCOOTER	Yükleyici
ITEM.VEHICLE_SEMISCOOTER_SMALL	İzci
ITEM.WALKIE_TALKIE	Telsiz
ITEM.WALKIE_TALKIE_BOX	Telsiz Kutusu
STATS.UPGRADES.HEADER	Geliştirmeler
LEVEL.HEADER	Seviye
STATS.UPGRADE.CROUCH_REST	Eğilme Dinlenmesi
STATS.UPGRADE.DEATH_HEAD_BATTERY	Kuru Kafa Bataryası
STATS.UPGRADE.EXTRA_JUMP	Ek Zıplama
STATS.UPGRADE.HEALTH	Sağlık
STATS.UPGRADE.LAUNCH	Takla Fırlaması
STATS.UPGRADE.MAP_PLAYER_COUNT	Harita Oyuncu Sayısı
STATS.UPGRADE.RANGE	Menzil
STATS.UPGRADE.SPEED	Depar Hızı
STATS.UPGRADE.STAMINA	Dayanıklılık
STATS.UPGRADE.STRENGTH	Güç
STATS.UPGRADE.TUMBLE_CLIMB	Takla Tırmanışı
STATS.UPGRADE.TUMBLE_WINGS	Takla Kanatları
ENEMY.ANIMAL	Hayvan
ENEMY.BANG	Patlatıcı
ENEMY.BEAMER	Palyaço
ENEMY.BIRTHDAY_BOY	Doğum Günü Çocuğu
ENEMY.BOMB_THROWER	Temizlik Ekibi
ENEMY.BOWTIE	Papyon
ENEMY.CEILING_EYE	Gözcü
ENEMY.DUCK	Yırtıcı
ENEMY.ELSA	Elsa
ENEMY.FLOATER	Medyum
ENEMY.GNOME	Cüce
ENEMY.HEAD	Kafadar
ENEMY.HEAD_GRABBER	Kafa Avcısı
ENEMY.HEART_HUGGER	Kalp Kucaklayıcı
ENEMY.HIDDEN	Gizlenmiş
ENEMY.HUNTER	Avcı
ENEMY.OOGLY	Ucube
ENEMY.ROBE	Cübbeli
ENEMY.RUNNER	Azrail
ENEMY.SHADOW	Gölge
ENEMY.SLOW_MOUTH	Kusmuk
ENEMY.SLOW_WALKER	Aksak
ENEMY.SPINNY	Kumarbaz
ENEMY.THIN_MAN	Gölge Çocuk
ENEMY.TICK	Kene
ENEMY.TRICYCLE	Bella
ENEMY.TUMBLER	Şef
ENEMY.UPSCREAM	Çığlık
ENEMY.VALUABLE_THROWER	Yaramaz
UPGRADE_STAND.INTERACT	Yeniden Stoklamak İçin Basılı Tut ({cost})
ARENA.WINNER.KING	Ezıklerın Kralı!
ARENA.WINNER.LOSERS	Herkes Ezik!
ARENA.MESSAGE.LAST_LOSER_STANDING	Ayakta Kalan Son Ezik!
ARENA.MESSAGE.GAME_OVER	Oyun Bitti
SPECTATE_LIST.HEADER	Parçalanlar:
ITEM.CART.MODE_STRONG	Mod: Güçlü
ITEM.CART.MODE_WEAK	Mod: Zayıf
