MAIN.PRIVATE_GAME	Özel Oyun
COSMETICS.TYPE.LEG_RIGHT	Sağ Bacak Aksesuarı
COSMETICS.TYPE.LEG_LEFT	Sol Bacak Aksesuarı
COSMETICS.TYPE.HEAD_TOP_MESH	Kafa Üstü
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Kafa Altı
COSMETICS.TYPE.BODY_TOP_MESH	Üst Gövde
COSMETICS.TYPE.BODY_BOTTOM_MESH	Alt Gövde
COSMETICS.TYPE.ARM_RIGHT_MESH	Sağ Kol
COSMETICS.TYPE.ARM_LEFT_MESH	Sol Kol
COSMETICS.TYPE.LEG_RIGHT_MESH	Sağ Bacak
COSMETICS.TYPE.LEG_LEFT_MESH	Sol Bacak
COSMETICS.TYPE.GRABBER_MESH	Yakalayıcı
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Sağ Göz Kapağı
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Sol Göz Kapağı
COSMETICS.TYPE.BODY_TOP_OVERLAY	Üst Gövde Kaplaması
COSMETICS.TYPE.EARS	Kulaklar
COSMETICS.TYPE.EYEWEAR	Gözlük/Göz Aksesuarı
COSMETICS.TYPE.BODY_TOP	Üst Kıyafet
COSMETICS.TYPE.BODY_BOTTOM	Alt Kıyafet
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Alt Gövde Kaplaması
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Kafa Üstü Kaplaması
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Kafa Altı Kaplaması
POPUP.DELETE_PRESET.HEADER	Hazır Ayarı Sil
POPUP.DELETE_PRESET.BODY	Bu hazır ayarı SONSUZA DEK silmek istediğinden GERÇEKTEN EMİN MİSİN?
POPUP.DELETE_PRESET.OPT1	Evet! :')
POPUP.DELETE_PRESET.OPT2	Hayır...
SETTINGS.CONTROLS.ANGRY	Sinirli
SETTINGS.CONTROLS.SAD	Üzgün
SETTINGS.CONTROLS.SUSPICIOUS	Şüpheli
SETTINGS.CONTROLS.EYES_CLOSED	Gözler Kapalı
SETTINGS.CONTROLS.SCARED	Tırsmış
SETTINGS.CONTROLS.HAPPY	Mutlu
POPUP.COSMETICS_COLOR_ALL.HEADER	Rengi Değiştir
POPUP.COSMETICS_COLOR_ALL.BODY	Bu işlem tüm vücut parçalarındaki ve kozmetiklerindeki renklerin üzerine yazılacak.\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_COLOR_ALL.OPT1	Evet! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Hayır...
SETTINGS.AUDIO.SFX_VOLUME	Ses Efekti Seviyesi
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Metinden Konuşmaya (MDK) Seviyesi
SETTINGS.CAMERA_ANIMATION.OFF	Kapalı
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Çok Düşük
SETTINGS.CAMERA_ANIMATION.LOW	Düşük
SETTINGS.CAMERA_ANIMATION.MEDIUM	Orta
SETTINGS.CAMERA_ANIMATION.DEFAULT	Varsayılan
SETTINGS.RICH_PRESENCE.OFF	Kapalı
SETTINGS.RICH_PRESENCE.MINIMAL	Kısıtlı
SETTINGS.RICH_PRESENCE.FULL	Tam
SETTINGS.WINDOW_MODE.WINDOWED	Pencereli
SETTINGS.WINDOW_MODE.FULLSCREEN	Tam Ekran
SETTINGS.MAX_FPS.UNLIMITED	Sınırsız
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Çok Düşük
SETTINGS.LIGHT_DISTANCE.LOW	Düşük
SETTINGS.LIGHT_DISTANCE.MEDIUM	Orta
SETTINGS.LIGHT_DISTANCE.HIGH	Yüksek
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Çok Yüksek
SETTINGS.SHADOW_QUALITY.VERY_LOW	Çok Düşük
SETTINGS.SHADOW_QUALITY.LOW	Düşük
SETTINGS.SHADOW_QUALITY.MEDIUM	Orta
SETTINGS.SHADOW_QUALITY.HIGH	Yüksek
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Çok Yüksek
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Çok Düşük
SETTINGS.SHADOW_DISTANCE.LOW	Düşük
SETTINGS.SHADOW_DISTANCE.MEDIUM	Orta
SETTINGS.SHADOW_DISTANCE.HIGH	Yüksek
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Çok Yüksek
SETTINGS.RENDER_SIZE.SMALL	Küçük
SETTINGS.RENDER_SIZE.MEDIUM	Orta
SETTINGS.RENDER_SIZE.DEFAULT	Varsayılan
SETTINGS.MIC_DEVICE.NONE	Yok
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Oynanış Ayarlarını Sıfırla
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Oynanış ayarları varsayılana sıfırlansın mı?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Evet!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Hayır
SETTINGS.GRAPHICS.HEADER	Grafik
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Grafik Ayarlarını Sıfırla
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Grafik ayarları varsayılana sıfırlansın mı?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Evet!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Hayır
POPUP.RESET_AUDIO_SETTINGS.HEADER	Ses Ayarlarını Sıfırla
POPUP.RESET_AUDIO_SETTINGS.BODY	Ses ayarları varsayılana sıfırlansın mı?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Evet!
POPUP.RESET_AUDIO_SETTINGS.OPT2	Hayır
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Kontrol Ayarlarını Sıfırla
POPUP.RESET_CONTROLS_SETTINGS.BODY	Kontrol ayarları varsayılana sıfırlansın mı?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Evet!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Hayır
COSMETICS.TYPE.FOOT_RIGHT	Ayakkabı Sağ
COSMETICS.TYPE.FOOT_LEFT	Ayakkabı Sol
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Sağ Kol Kaplaması
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Sol Kol Kaplaması
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Sağ Bacak Kaplaması
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Sol Bacak Kaplaması
PASSWORD.HEADER	Şifre
PASSWORD.SKIP	Geç
LOBBY.SETTINGS	Ayarlar
LOBBY.CUSTOMIZE	Özelleştir
POPUP.START_GAME.HEADER	Oyunu Başlat
POPUP.START_GAME.BODY	Herkes hazır mı?\n\nOyun başladıktan sonra\nyeni oyuncular katılamaz.
POPUP.START_GAME.OPT1	Evet!
POPUP.START_GAME.OPT2	Hayır, bekle!
POPUP.LEAVE_LOBBY.HEADER	Lobiden Ayrıl
POPUP.LEAVE_LOBBY.BODY	Emin misin?
POPUP.LEAVE_LOBBY.OPT1	Evet
POPUP.LEAVE_LOBBY.OPT2	Hayır
POPUP.NEW_GAME.HEADER	Yeni Oyun
POPUP.NEW_GAME.BODY	Yeni bir oyun başlatmak istiyor musun?
POPUP.NEW_GAME.OPT1	Evet!
POPUP.NEW_GAME.OPT2	Hayır
PASSWORD.CONFIRM	Onayla
LOBBY.PLAYER_JOINING	Oyuncu Katılıyor...
COSMETICS.TYPE.HEAD_BOTTOM	Alt Yüz
POPUP.COSMETICS_RESET_ALL.HEADER	Temizle
POPUP.COSMETICS_RESET_ALL.BODY	Tüm vücut parçalarını ve kozmetikleri çıkarmak istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RESET_ALL.OPT1	Evet! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Hayır...
POPUP.COSMETICS_RESET_BODY.HEADER	Temizle
POPUP.COSMETICS_RESET_BODY.BODY	Tüm vücut parçalarını çıkarmak istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RESET_BODY.OPT1	Evet! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Hayır...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Temizle
POPUP.COSMETICS_RESET_COSMETICS.BODY	Tüm kozmetikleri çıkarmak istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Evet! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Hayır...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Rastgele Seç
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Tüm vücut parçalarını ve kozmetikleri rastgele belirlemek istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Evet! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Hayır...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Rastgele Seç
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Tüm vücut parçalarını rastgele belirlemek istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Evet! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Hayır...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Rastgele Seç
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Tüm kozmetikleri rastgele belirlemek istediğinden emin misin?\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Evet! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Hayır...
POPUP.COSMETICS_COLOR_BODY.HEADER	Rengi Değiştir
POPUP.COSMETICS_COLOR_BODY.BODY	Bu işlem tüm vücut parçalarındaki renklerin üzerine yazılacak.\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_COLOR_BODY.OPT1	Evet! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Hayır...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Rengi Değiştir
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Bu işlem tüm kozmetiklerindeki renklerin üzerine yazılacak.\n\nBu işlem geri alınamaz!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Evet! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Hayır...
COSMETICS.TYPE.FACE_TOP	Üst Yüz
COSMETICS.TYPE.FACE_BOTTOM	Orta Yüz
MAIN.CUSTOMIZE	Özelleştir
ESC.HEADER	Menü
ESC.CONTINUE	Devam Et
ESC.CUSTOMIZE	Özelleştir
ESC.SETTINGS	Ayarlar
ESC.SELF_DESTRUCT	Kendini İmha Et
ESC.ACTIVE_MOONS	Aktif Aylar
ESC.MAIN_MENU	Ana Menü
ESC.QUIT_GAME	Oyundan Çık
POPUP.MAIN_MENU.OPT2	Hayır
MOONS.HEADER	Aktif Aylar
MOONS.BACK	Geri
MOONS.MOON_1.NAME	Hilal
MOONS.MOON_1.ATTRIBUTE_1	Kamyon şifacısı artık 35 sağlık yeniliyor.
MOONS.MOON_1.ATTRIBUTE_2	Canavarları ganimetlerle yere sermek artık daha zor.
MOONS.MOON_2.NAME	Yarım Ay
MOONS.MOON_2.ATTRIBUTE_1	Canavarlar artık yakalayıcınızı aşırı şarj ediyor.
MOONS.MOON_2.ATTRIBUTE_2	Canavarlar çukurlardan ağır hasar alıyor ama hayatta kalabiliyorlar.
MOONS.MOON_2.ATTRIBUTE_3	Kamyon şifacısı artık 25 sağlık yeniliyor.
MOONS.MOON_3.NAME	Dolunay
MOONS.MOON_3.ATTRIBUTE_1	Canavarlar artık yakalayıcınızı toplamda %25 daha fazla aşırı şarj ediyor.
MOONS.MOON_3.ATTRIBUTE_2	Canavarlar artık çukurlardan daha az hasar alıyor.
MOONS.MOON_4.NAME	Süper Ay
MOONS.MOON_4.ATTRIBUTE_1	Düşman Küreleri yok edildiğinde artık patlıyor.
MOONS.MOON_4.ATTRIBUTE_2	Canavarlar artık yakalayıcınızı toplamda %50 daha fazla aşırı şarj ediyor.
MOONS.MOON_4.ATTRIBUTE_3	Canavarlar artık çukurlardan daha da az hasar alıyor.
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Işığa Duyarlılık Uyarısı
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	Bu oyun yanıp sönen ışıklar içermektedir.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Bazı kişiler ışık düzenlerine ve yanıp sönen ışıklara maruz kaldıklarında epileptik nöbetler geçirebilirler. Oynarken herhangi bir rahatsızlık hissederseniz, oynamayı derhal bırakın ve bir doktora danışın.
LEVEL.NAME.SHOP	Servis İstasyonu
LEVEL.NAME.ARENA	İmha Bölgesi
LEVEL.NAME.ARCTIC	McJannek İstasyonu
LEVEL.NAME.MANOR	Şef Malikhanesi
LEVEL.NAME.MUSEUM	İnsan Sanatları Müzesi
LEVEL.NAME.WIZARD	Hızlısüpürge Akademisi
LOADING.LEVEL.SHOP	Mağaza
LOADING.LEVEL.LEVEL_NUMBER	Seviye {number}
LOADING.LEVEL.GAME_OVER	Oyun Bitti
SAVES.SAVE_INFO.PLAYER_SOLO	Hepsini tek başına başardın!
POPUP.SAVE_LIMIT.HEADER	Kayıt Dosyası Sınırına Ulaşıldı
POPUP.SAVE_LIMIT.BODY	Aynı anda en fazla {limit} kayıt dosyasına sahip olabilirsin. Lütfen yenilerine yer açmak için bazı kayıt dosyalarını sil.
POPUP.SAVE_LIMIT.BUTTON	Tamam
POPUP.KICKED.HEADER	Atıldın
POPUP.KICKED.BODY	Oyun kurucu tarafından lobiden atıldın.
POPUP.KICKED.BUTTON	Hadi ya, tüh
POPUP.DISCONNECTED.HEADER	Bağlantı Kesildi
POPUP.DISCONNECTED.STUCK_LOADING	Yüklemede takılı kaldı
POPUP.DISCONNECTED.HOST_DISCONNECTED	Kurucunun bağlantısı koptu
POPUP.DISCONNECTED.BUTTON	Hadi ya, tüh
POPUP.VERSION_MISMATCH.HEADER	Yanlış Oyun Sürümü
POPUP.VERSION_MISMATCH.BODY	Oyun lobisi şu sürümü kullanıyor:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	Hadi ya, tüh
POPUP.LOBBY_CLOSED.HEADER	Lobi Kapatıldı
POPUP.LOBBY_CLOSED.BODY	Oyun lobisi kapatıldı.
POPUP.LOBBY_CLOSED.BUTTON	Hadi ya, tüh
POPUP.DISCONNECTED.CAUSE_PREFIX	Sebep:
POPUP.DISCONNECTED.BANNED_LOBBY	Bu lobiden yasaklandın.
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Krometik Sapma
SETTINGS.GRAPHICS.GRAIN	Tanecik
SETTINGS.GRAPHICS.GLITCH_LOOP	Bozulma Döngüsü
SETTINGS.GRAPHICS.PIXELATION	Pikselleştirme
SETTINGS.AUDIO.MASTER_VOLUME	Ana Ses
SETTINGS.AUDIO.MUSIC_VOLUME	Muzik Sesi
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Yakınlık Ses Seviyesi
SETTINGS.AUDIO.MICROPHONE	Mikrofon
SETTINGS.AUDIO.MICROPHONE_VOLUME	Mikrofon Sesi
SETTINGS.AUDIO.PUSH_TO_TALK	Bas Konuş
SETTINGS.CONTROLS.MOVEMENT	Hareket
SETTINGS.AUDIO.HEADER	SES
SETTINGS.CONTROLS.HEADER	Kontroller
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Varsayılan Seçeneklere Sıfırla
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Varsayılan Seçeneklere Sıfırla
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Varsayılan Seçeneklere Sıfırla
SETTINGS.GRAPHICS.LENS_DISTORTION	Lens Bozulması
SETTINGS.GRAPHICS.SHADOW_QUALITY	Gölge Kalitesi
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Gölge Mesafesi
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Eşyayı çıkartıp otomatik tutma
SERVER_LIST.HEADER	Sunucu Listesi
SERVER_LIST.SEARCH	Arama
SERVER_LIST.BACK	Geri
SERVER_LIST.CREATE_NEW	Yeni Oluştur
SERVER_LIST_CREATE_NEW.BACK	Geri
SERVER_LIST_CREATE_NEW.CONFIRM	Onayla
SERVER_LIST_CREATE_NEW.HEADER	Yeni Oluştur
SERVER_LIST_SEARCH.BACK	Geri
SERVER_LIST_SEARCH.CONFIRM	Onayla
SERVER_LIST_SEARCH.HEADER	Arama
PUBLIC_GAME_CHOICE.SERVER_LIST	Sunucu Listesi
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Rastgele Eşleştirme
PUBLIC_GAME_CHOICE.BACK	Geri
PUBLIC_GAME_CHOICE.HEADER	Açık Oyun
